date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:38	34649/34649	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202015%2012:23:08%20GMT	http://abusinesstheme.com/demo/palas/	C:/My%20Web%20Sites/palas2/abusinesstheme.com/demo/palas/index.html	(from )
16:16:38	5790/5790	---M-Z	200	added ('OK')	application/javascript	etag:%22dfc333ff4810c078e414940ce240662e%22	http://abusinesstheme.com/cdn-cgi/apps/head/ZY9A0AAlwdpt2cO4aZb21XgSNxg.js	C:/My%20Web%20Sites/palas2/abusinesstheme.com/cdn-cgi/apps/head/ZY9A0AAlwdpt2cO4aZb21XgSNxg.js	(from http://abusinesstheme.com/demo/palas/)
16:16:38	2127/2127	---MC-	200	added ('OK')	text/css	date:Wed,%2003%20Jul%202019%2014:16:33%20GMT	http://fonts.googleapis.com/css?family=Source+Sans+Pro:100,300,400,600,700,900,400italic|Montserrat:400,700	C:/My%20Web%20Sites/palas2/fonts.googleapis.com/cssb83a.css	(from http://abusinesstheme.com/demo/palas/)
16:16:38	113498/113498	---M-Z	200	added ('OK')	text/css	etag:%221544639646%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/palas2/maxcdn.bootstrapcdn.com/bootstrap/3.3.1/css/bootstrap.min.css	(from http://abusinesstheme.com/demo/palas/)
16:16:39	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/My%20Web%20Sites/palas2/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://abusinesstheme.com/demo/palas/)
16:16:39	0/0	---M--	200	added ('OK')	text/css	date:Wed,%2011%20Mar%202015%2014:21:01%20GMT	http://abusinesstheme.com/demo/palas/css/void.css	C:/My%20Web%20Sites/palas2/abusinesstheme.com/demo/palas/css/void.css	(from http://abusinesstheme.com/demo/palas/)
16:16:40	55589/55589	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Mar%202015%2014:23:43%20GMT	http://abusinesstheme.com/demo/palas/plugins/rs-plugin/css/settings.css	C:/My%20Web%20Sites/palas2/abusinesstheme.com/demo/palas/plugins/rs-plugin/css/settings.css	(from http://abusinesstheme.com/demo/palas/)
16:16:41	114177/114177	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2011:07:49%20GMT	http://abusinesstheme.com/demo/palas/css/style.css	C:/My%20Web%20Sites/palas2/abusinesstheme.com/demo/palas/css/style.css	(from http://abusinesstheme.com/demo/palas/)
16:16:41	34649/34649	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202015%2012:23:08%20GMT	http://abusinesstheme.com/demo/palas/index.html	C:/My%20Web%20Sites/palas2/abusinesstheme.com/demo/palas/index-2.html	(from http://abusinesstheme.com/demo/palas/)
16:16:41	37195/37195	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202015%2012:23:09%20GMT	http://abusinesstheme.com/demo/palas/index_02.html	C:/My%20Web%20Sites/palas2/abusinesstheme.com/demo/palas/index_02.html	(from http://abusinesstheme.com/demo/palas/)
